% time spent exploring,cumulative reward,episodes,mean 10 episode reward,mean 100 episode reward,steps
98,0.0,10,0.0,0.0,89
96,0.0,20,0.0,0.0,189
94,0.0,30,0.0,0.0,289
92,0.0,40,0.0,0.0,389
90,0.0,50,0.0,0.0,489
88,0.0,60,0.0,0.0,589
86,0.0,70,0.0,0.0,689
84,0.0,80,0.0,0.0,789
82,0.0,90,0.0,0.0,889
80,0.0,100,0.0,0.0,989
78,0.0,110,0.0,0.0,1089
76,0.0,120,0.0,0.0,1189
74,0.0,130,0.0,0.0,1289
72,0.0,140,0.0,0.0,1389
70,0.0,150,0.0,0.0,1489
68,0.0,160,0.0,0.0,1589
66,0.0,170,0.0,0.0,1689
64,0.0,180,0.0,0.0,1789
62,0.0,190,0.0,0.0,1889
61,0.0,200,0.0,0.0,1989
59,0.0,210,0.0,0.0,2089
57,0.0,220,0.0,0.0,2189
55,0.0,230,0.0,0.0,2289
53,0.0,240,0.0,0.0,2389
51,0.0,250,0.0,0.0,2489
49,0.0,260,0.0,0.0,2589
47,0.0,270,0.0,0.0,2689
45,0.0,280,0.0,0.0,2789
43,0.0,290,0.0,0.0,2889
41,0.0,300,0.0,0.0,2989
39,1.0,310,0.1,0.01,3089
37,1.0,320,0.0,0.01,3189
35,1.0,330,0.0,0.01,3289
33,1.0,340,0.0,0.01,3389
31,1.0,350,0.0,0.01,3489
29,1.0,360,0.0,0.01,3589
27,1.0,370,0.0,0.01,3689
25,1.0,380,0.0,0.01,3789
23,1.0,390,0.0,0.01,3889
21,1.0,400,0.0,0.01,3989
19,1.0,410,0.0,0.0,4089
17,1.0,420,0.0,0.0,4189
15,1.0,430,0.0,0.0,4289
13,1.0,440,0.0,0.0,4389
12,1.0,450,0.0,0.0,4489
10,2.0,460,0.1,0.01,4589
8,2.0,470,0.0,0.01,4689
6,2.0,480,0.0,0.01,4789
4,2.0,490,0.0,0.01,4889
2,2.0,500,0.0,0.01,4989
2,2.0,510,0.0,0.01,5089
2,2.0,520,0.0,0.01,5189
2,2.0,530,0.0,0.01,5289
2,2.0,540,0.0,0.01,5389
2,2.0,550,0.0,0.01,5489
2,2.0,560,0.0,0.0,5589
2,2.0,570,0.0,0.0,5689
2,2.0,580,0.0,0.0,5789
2,2.0,590,0.0,0.0,5889
2,2.0,600,0.0,0.0,5989
2,2.0,610,0.0,0.0,6089
2,2.0,620,0.0,0.0,6189
2,2.0,630,0.0,0.0,6289
2,2.0,640,0.0,0.0,6389
2,2.0,650,0.0,0.0,6489
2,2.0,660,0.0,0.0,6589
2,2.0,670,0.0,0.0,6689
2,2.0,680,0.0,0.0,6789
2,2.0,690,0.0,0.0,6889
2,2.0,700,0.0,0.0,6989
2,2.0,710,0.0,0.0,7089
2,2.0,720,0.0,0.0,7189
2,2.0,730,0.0,0.0,7289
2,2.0,740,0.0,0.0,7389
2,2.0,750,0.0,0.0,7489
2,2.0,760,0.0,0.0,7589
2,2.0,770,0.0,0.0,7689
2,2.0,780,0.0,0.0,7789
2,2.0,790,0.0,0.0,7889
2,2.0,800,0.0,0.0,7989
2,2.0,810,0.0,0.0,8089
2,2.0,820,0.0,0.0,8189
2,2.0,830,0.0,0.0,8289
2,2.0,840,0.0,0.0,8389
2,2.0,850,0.0,0.0,8489
2,2.0,860,0.0,0.0,8589
2,2.0,870,0.0,0.0,8689
2,2.0,880,0.0,0.0,8789
2,2.0,890,0.0,0.0,8889
2,2.0,900,0.0,0.0,8989
2,2.0,910,0.0,0.0,9089
2,2.0,920,0.0,0.0,9189
2,2.0,930,0.0,0.0,9289
2,2.0,940,0.0,0.0,9389
2,2.0,950,0.0,0.0,9489
2,2.0,960,0.0,0.0,9589
2,2.0,970,0.0,0.0,9689
2,2.0,980,0.0,0.0,9789
2,2.0,990,0.0,0.0,9889
2,2.0,1000,0.0,0.0,9989
2,2.0,1010,0.0,0.0,10089
